2018-01-26 22:38:43  epoch:     1 , val_acc: 0.9709  avg_val_loss: 0.1045
2018-01-26 22:40:02  TENSOR_SGD_ELU epoch: 2 ,  batch:    50 , avg_batch_acc: 0.9531  avg_batch_loss: 0.1558  learning_rate 0.000010
2018-01-26 22:41:21  TENSOR_SGD_ELU epoch: 2 ,  batch:   100 , avg_batch_acc: 0.9844  avg_batch_loss: 0.0687  learning_rate 0.000010
2018-01-26 22:42:40  TENSOR_SGD_ELU epoch: 2 ,  batch:   150 , avg_batch_acc: 1.0000  avg_batch_loss: 0.0370  learning_rate 0.000010
2018-01-26 22:43:59  TENSOR_SGD_ELU epoch: 2 ,  batch:   200 , avg_batch_acc: 0.9531  avg_batch_loss: 0.1239  learning_rate 0.000010
2018-01-26 22:45:17  TENSOR_SGD_ELU epoch: 2 ,  batch:   250 , avg_batch_acc: 0.9844  avg_batch_loss: 0.0542  learning_rate 0.000010
2018-01-26 22:46:37  TENSOR_SGD_ELU epoch: 2 ,  batch:   300 , avg_batch_acc: 0.9531  avg_batch_loss: 0.1137  learning_rate 0.000010
2018-01-26 22:47:55  TENSOR_SGD_ELU epoch: 2 ,  batch:   350 , avg_batch_acc: 0.9688  avg_batch_loss: 0.0741  learning_rate 0.000010
2018-01-26 22:49:14  TENSOR_SGD_ELU epoch: 2 ,  batch:   400 , avg_batch_acc: 0.9375  avg_batch_loss: 0.1557  learning_rate 0.000010
2018-01-26 22:50:33  TENSOR_SGD_ELU epoch: 2 ,  batch:   450 , avg_batch_acc: 0.9688  avg_batch_loss: 0.0854  learning_rate 0.000010
2018-01-26 22:51:50  TENSOR_SGD_ELU epoch: 2 ,  batch:   500 , avg_batch_acc: 0.9688  avg_batch_loss: 0.0777  learning_rate 0.000010
2018-01-26 22:53:09  TENSOR_SGD_ELU epoch: 2 ,  batch:   550 , avg_batch_acc: 0.9375  avg_batch_loss: 0.1366  learning_rate 0.000010
2018-01-26 22:54:27  TENSOR_SGD_ELU epoch: 2 ,  batch:   600 , avg_batch_acc: 0.9688  avg_batch_loss: 0.1287  learning_rate 0.000010
2018-01-26 22:55:46  TENSOR_SGD_ELU epoch: 2 ,  batch:   650 , avg_batch_acc: 1.0000  avg_batch_loss: 0.0397  learning_rate 0.000010
2018-01-26 22:57:04  TENSOR_SGD_ELU epoch: 2 ,  batch:   700 , avg_batch_acc: 0.9844  avg_batch_loss: 0.0686  learning_rate 0.000010
2018-01-26 22:58:22  TENSOR_SGD_ELU epoch: 2 ,  batch:   750 , avg_batch_acc: 0.9844  avg_batch_loss: 0.0513  learning_rate 0.000010
2018-01-26 22:59:41  TENSOR_SGD_ELU epoch: 2 ,  batch:   800 , avg_batch_acc: 0.9688  avg_batch_loss: 0.1231  learning_rate 0.000010
2018-01-26 23:00:59  TENSOR_SGD_ELU epoch: 2 ,  batch:   850 , avg_batch_acc: 0.9844  avg_batch_loss: 0.1049  learning_rate 0.000010
2018-01-26 23:02:18  TENSOR_SGD_ELU epoch: 2 ,  batch:   900 , avg_batch_acc: 1.0000  avg_batch_loss: 0.0486  learning_rate 0.000010
2018-01-26 23:03:14  epoch:     2 , train_acc: 0.9693  avg_train_loss: 0.1095
2018-01-26 23:06:43  epoch:     2 , val_acc: 0.9729  avg_val_loss: 0.0981
2018-01-26 23:08:01  TENSOR_SGD_ELU epoch: 3 ,  batch:    50 , avg_batch_acc: 0.9844  avg_batch_loss: 0.1182  learning_rate 0.000010
2018-01-26 23:09:19  TENSOR_SGD_ELU epoch: 3 ,  batch:   100 , avg_batch_acc: 0.9688  avg_batch_loss: 0.1005  learning_rate 0.000010
2018-01-26 23:10:38  TENSOR_SGD_ELU epoch: 3 ,  batch:   150 , avg_batch_acc: 0.9375  avg_batch_loss: 0.1338  learning_rate 0.000010
2018-01-26 23:11:57  TENSOR_SGD_ELU epoch: 3 ,  batch:   200 , avg_batch_acc: 0.9688  avg_batch_loss: 0.1253  learning_rate 0.000010
2018-01-26 23:13:15  TENSOR_SGD_ELU epoch: 3 ,  batch:   250 , avg_batch_acc: 0.9531  avg_batch_loss: 0.1839  learning_rate 0.000010
2018-01-26 23:14:35  TENSOR_SGD_ELU epoch: 3 ,  batch:   300 , avg_batch_acc: 1.0000  avg_batch_loss: 0.0594  learning_rate 0.000010
2018-01-26 23:15:54  TENSOR_SGD_ELU epoch: 3 ,  batch:   350 , avg_batch_acc: 0.9844  avg_batch_loss: 0.0928  learning_rate 0.000010
2018-01-26 23:17:13  TENSOR_SGD_ELU epoch: 3 ,  batch:   400 , avg_batch_acc: 0.9844  avg_batch_loss: 0.0634  learning_rate 0.000010
2018-01-26 23:18:31  TENSOR_SGD_ELU epoch: 3 ,  batch:   450 , avg_batch_acc: 0.9688  avg_batch_loss: 0.1172  learning_rate 0.000010
2018-01-26 23:19:50  TENSOR_SGD_ELU epoch: 3 ,  batch:   500 , avg_batch_acc: 1.0000  avg_batch_loss: 0.0478  learning_rate 0.000010
2018-01-26 23:21:09  TENSOR_SGD_ELU epoch: 3 ,  batch:   550 , avg_batch_acc: 0.9844  avg_batch_loss: 0.0529  learning_rate 0.000010
2018-01-26 23:22:28  TENSOR_SGD_ELU epoch: 3 ,  batch:   600 , avg_batch_acc: 0.9688  avg_batch_loss: 0.1220  learning_rate 0.000010
2018-01-26 23:23:47  TENSOR_SGD_ELU epoch: 3 ,  batch:   650 , avg_batch_acc: 0.9688  avg_batch_loss: 0.1023  learning_rate 0.000010
2018-01-26 23:25:05  TENSOR_SGD_ELU epoch: 3 ,  batch:   700 , avg_batch_acc: 0.9531  avg_batch_loss: 0.0936  learning_rate 0.000010
2018-01-26 23:26:24  TENSOR_SGD_ELU epoch: 3 ,  batch:   750 , avg_batch_acc: 0.9844  avg_batch_loss: 0.0939  learning_rate 0.000010
2018-01-26 23:27:42  TENSOR_SGD_ELU epoch: 3 ,  batch:   800 , avg_batch_acc: 0.9688  avg_batch_loss: 0.0864  learning_rate 0.000010
2018-01-26 23:29:01  TENSOR_SGD_ELU epoch: 3 ,  batch:   850 , avg_batch_acc: 0.9531  avg_batch_loss: 0.1608  learning_rate 0.000010
2018-01-26 23:30:20  TENSOR_SGD_ELU epoch: 3 ,  batch:   900 , avg_batch_acc: 0.9688  avg_batch_loss: 0.0997  learning_rate 0.000010
2018-01-26 23:31:16  epoch:     3 , train_acc: 0.9704  avg_train_loss: 0.1066
2018-01-26 23:34:46  epoch:     3 , val_acc: 0.9724  avg_val_loss: 0.0994
